Muscle,Location,Origin,Insertion,Artery,Nerve,Action,Antagonist,O,TA
"rectus, inferior","head, eye, orbit (left/right)",annulus of Zinn at orbital apex,6.5 mm inferior to corneal limbus,ophthalmic artery,"oculomotor nerve [CNIII], inferior branch",adducts and depresses eye,Oblique Superior and inferior,2,1
"rectus, medial","head, eye, orbit (left/right)",annulus of Zinn at orbital apex,5.5 mm medial to corneal limbus,ophthalmic artery,"oculomotor nerve [CNIII], inferior branch",adducts eye,Oblique Superior and inferior,2,1
"rectus, lateral","head, eye, orbit (left/right)",annulus of Zinn at orbital apex,7 mm temporal to corneal limbus,ophthalmic artery,abducens nerve [CNVI],abducts eye,Oblique Superior and inferior,2,1
"oblique, superior","head, extraocular (left/right)","annulus of Zinn at orbital apex, medial to optic canal",outer posterior quadrant of eyeball,"ophthalmic artery, lateral muscular branch",trochlear nerve [CNIV],"abducts, intorts, and depress eye","right medial, superior, and inferior recti (superior and inferior oblique muscles are the synergists)",2,1
"oblique, inferior","head, extraocular (left/right)","orbital surface of maxilla, lateral to lacrimal groove","laterally onto eyeball, deep to lateral rectus, by a short flat tendon",ophthalmic artery,oculomotor nerve [CNIII],"abducts, extorts, and elevates eye","right medial, superior, and inferior recti (superior and inferior oblique muscles are the synergists)",2,1
temporoparietalis,"head, ear, outer ear (left/right)",auriculares muscles,epicranial aponeurosis,,facial nerve [CNVII],fixes galeal aponeurosis,,2,1
auricularis anterior,"head, ear, auricular, extrinsic (left/right)",temporal fascia,front of helix of ear,posterior auricular artery,facial nerve [CNVII],pulls auricle forwards,,2,1
auricularis superior,"head, ear, auricular, extrinsic (left/right)",epicranial aponeurosis,dorsocranial surface of auricle,posterior auricular artery,facial nerve [CNVII],pulls auricle upwards,,2,1
auricularis posterior,"head, ear, auricular, extrinsic (left/right)","mastoid process of temporal bone, tendon of sternocleidomastoid",dorsal part of auricle,posterior auricular artery,facial nerve [CNVII],pulls auricle backwards,?,2,1
helicis major,"head, ear, auricular, intrinsic (left/right)",Spina helicis,Anterior border of the helix,Auricular branches of posterior auricular and auricular branch of occipital arteries,Facial nerve,depresses the anterior margin of the ear cartilage,?,2,1
helicis minor,"head, ear, auricular, intrinsic (left/right)",Base of the helical crus,Anterior aspect of the helical crus,Auricular branches of posterior auricular and auricular branch of occipital arteries,"Facial nerve, Posterior auricular nerve branch",Adjusts the shape of the anterior margin of the ear cartilage,?,2,1
tragicus,"head, ear, auricular, intrinsic (left/right)",Base of the tragus,Apex of the tragus,Auricular branches of posterior auricular and auricular branch of occipital arteries,Facial nerve,Increase the opening of the external acoustic meatus,?,2,1
antitragicus,"head, ear, auricular, intrinsic (left/right)",Outer part of the antitragus,Cauda helicis and antihelix,Auricular branch of superficial temporal and auricular branches of posterior auricular artery,Facial nerve,Modifies the auricular shape,?,2,1
"auricle, transverse","head, ear, auricular, intrinsic (left/right)",Cranial surface of the eminentia conchae,Cranial surface of the eminentia scaphae,Auricular branches of posterior auricular and auricular branch of occipital arteries,Facial nerve,Flattens the cranial profile outer ear,?,2,1
"auricle, oblique","head, ear, auricular, intrinsic (left/right)",?,?,?,"Facial nerve, posterior auricular nerve",?,?,2,1
Muscle of terminal notch,"head, ear, auricular, intrinsic (left/right)",?,?,?,?,?,?,0,1
stapedius,"head, ear, inner ear (left/right)",tip of pyramid of middle ear,neck of stapes,stapedial branch of posterior auricular artery,nerve to the stapedius from facial nerve [CNVII],"reduces movement of stapes, controls amplitude of sound waves to inner ear",,2,1
tensor tympani,"head, ear, inner ear (left/right)",Eustachian tube,handle of malleus,superior tympanic artery,medial pterygoid nerve from mandibular nerve [CNV3],"tenses tympanic membrane, controls amplitude of sound waves to inner ear",,2,1
procerus,"head, nose (left/right)",fascia over lower part of nasal bone,skin of lower part of forehead between eyebrows,facial artery,"facial nerve [CNVII], buccal branch",draws down medial angle of eyebrow (giving expressions of frowning),,2,1
depressor septi nasi,"head, nose (left/right)",incisive fossa of maxilla,nasal septum and back part of alar part of nasalis,superior labial artery,"facial nerve [CNVII], buccal branch",depresses nasal septum,,2,1
levator nasolabialis (levator labii superioris alaeque nasi),"head, nose (left/right)",frontal process of maxilla,nostril and upper lip,superior labial artery,"facial nerve [CNVII], buccal branch","dilates nostril, elevates upper lip, elevates wing of nose",,2,1
"nasalis, transverse part","head, nose, nasalis, transverse part (left/right)",alveolar yoke of canine tooth,lateral nasal cartilage,superior labial artery,"facial nerve [CNVII], buccal branch",compresses nostrils,,2,2
"nasalis, alar part","head, nose, nasalis, alar part (left/right)","alveolar yoke of lateral incisor tooth, greater and lesser alar cartilages",skin near margin of nostril,superior labial artery,"facial nerve [CNVII], buccal branch",dilates nostrils,,2,2
levator anguli oris,"head, mouth (left/right)",maxilla,modiolus of mouth,facial artery,facial nerve [CNVII],elevates angle of mouth (smile),depressor anguli oris,2,1
depressor anguli oris,"head, mouth (left/right)",tubercle of mandible,modiolus of mouth,facial artery,"facial nerve [CNVII], mandibular branch",depresses angle of mouth (frown),levator anguli oris,2,1
transversus menti,"head, mouth (left/right)",continuation of depressor anguli oris muscles,other side of depressor anguli oris muscles,facial artery,"facial nerve [CNVII], mandibular branch or buccal branch",depresses angle of mouth (frown),levator anguli oris,0.6,1
levator labii superioris,"head, mouth (left/right)",medial part of infra-orbital margin of maxilla,skin and muscle of upper lip (labii superioris),superior labial artery,"facial nerve [CNVII], buccal branch",elevates upper lip,,2,1
depressor labii inferioris,"head, mouth (left/right)","oblique line of mandible, between symphysis and mental foramen","integument of lower lip, orbicularis oris fibers, its fellow of opposite side",inferior labial artery,"facial nerve [CNVII], marginal mandibular branch",depresses lower lip,,2,1
mentalis,"head, mouth (left/right)","alveolar yoke of lower, lateral incisor tooth, found on anterior mandible",skin of chin,inferior labial artery,"facial nerve [CNVII], marginal mandibular branch","elevates and wrinkles skin of chin, protrudes lower lip",,2,1
bucinator (buccinator),"head, mouth (left/right)","alveolar processes of maxilla and mandible, pterygomandibular raphe",fibres of orbicularis oris,buccal artery,"facial nerve [CNVII], buccal branch","compress cheeks against teeth (blowing), mastication",,2,1
"orbicularis oris, marginal part","head, mouth (left/right)",maxilla and mandible,skin around lips,"superior labial artery, inferior labial artery","facial nerve [CNVII], buccal branch",puckers lips,,2,2
"orbicularis oris, labial part","head, mouth (left/right)",maxilla and mandible,skin around lips,"superior labial artery, inferior labial artery","facial nerve [CNVII], buccal branch",puckers lips,,2,2
risorius,"head, mouth (left/right)",parotid fascia,modiolus of mouth,facial artery,"facial nerve [CNVII], buccal branch",draw back angle of mouth,,2,1
zygomaticus major,"head, mouth (left/right)",zygomatic bone in region of zygomaticomaxillary suture,modiolus of mouth,facial artery,"facial nerve [CNVII], buccal branch",draws angle of mouth upward and laterally,,2,1
zygomaticus minor,"head, mouth (left/right)",zygomatic bone in region of zygomaticomaxillary suture,skin of upper lip,facial artery,"facial nerve [CNVII], buccal branch",elevates upper lip,,2,1
"masseter, superficial part","head, coronal plane (left/right)",anterior two-thirds of inferior margin of zygomatic arch and maxilla,"angle of mandible, masseteric tuberosity of mandible",masseteric artery,masseteric nerve from mandibular nerve [CNV3],elevates and retracts mandible (closes mouth),platysma,2,2
"masseter, deep part","head, coronal plane (left/right)",anterior two-thirds of inferior margin of zygomatic arch and maxilla,"angle of mandible, masseteric tuberosity of mandible",masseteric artery,masseteric nerve from mandibular nerve [CNV3],elevates and retracts mandible (closes mouth),platysma,2,2
temporalis,"head, coronal plane (left/right)",temporal lines on parietal bone of skull,coronoid process of mandible,deep temporal arteries,deep temporal nerves from mandibular nerve [CNV3],elevates and retracts mandible (closes mouth),platysma,2,1
"pterygoid, lateral","head, coronal plane (left/right)",greater wing of sphenoid and lateral pterygoid process,condyloid process of mandible,"maxillary artery, pterygoid branches",external pterygoid nerve from mandibular nerve [CNV3],depresses mandible (opens mouth),"masseter, temporalis, medial pterygoid",2,1
pterygoideus proprius,"head, coronal plane (left/right)",?,?,?,?,?,?,0,1
"pterygoid, medial","head, coronal plane (left/right)",medial side of lateral pterygoid plate behind upper teeth (deep head); pyramidal process of palatine bone and maxillary tuberosity (superficial head),medial angle of mandible,"maxillary artery, pterygoid branches","mandibular nerve [CNV3], medial pterygoid nerve","elevates mandible, closes jaw, helps lateral pterygoid in moving jaw from side to side",,2,1
"genioglossus, inferior fibers","head, tongue (left/right)",superior part of mental spine of mandible (symphysis menti),"dorsum of tongue, body of hyoid",lingual artery,hypoglossal nerve [CNXII],protrudes tongue,,2,3
"genioglossus, middle fibers","head, tongue (left/right)",superior part of mental spine of mandible (symphysis menti),"dorsum of tongue, body of hyoid",lingual artery,hypoglossal nerve [CNXII],depresses tongue,,2,3
"genioglossus, superior fibers","head, tongue (left/right)",superior part of mental spine of mandible (symphysis menti),"dorsum of tongue, body of hyoid",lingual artery,hypoglossal nerve [CNXII],draws tip of tongue back and down,,2,3
hyoglossus (ceratoglossus),"head, tongue (left/right)",hyoid,side of tongue,,hypoglossal nerve [CNXII],depresses tongue,,2,1
chondroglossus,"head, tongue (left/right)",lesser cornu and body of hyoid bone,intrinsic muscular fibers of tongue,,hypoglossal nerve [CNXII],depresses tongue (some consider this muscle to be part of hyoglossus),,2,1
styloglossus,"head, tongue (left/right)",styloid process of temporal bone,tongue,"lingual artery, sublingual branch",hypoglossal nerve [CNXII],elevates and retracts tongue,inferior and middle fibers of genioglossus,2,1
palatoglossus,"head, tongue and soft palate (left/right)",palatine aponeurosis,tongue,,"vagus nerve [CNX], pharyngeal plexus and accessory nerve [CNXI]","raises back part of tongue, aiding in breathing",,2,1
superior longitudinal lingual,"head, tongue (left/right)","close to epiglottis, from median fibrous septum",edges of tongue,"lingual artery, tonsilar branch of facial artery, ascending pharyngeal artery",hypoglossal nerve [CNXII],"shortens tongue, turns tip upward, turns lateral margins upward",,2,1
transversus linguae,"head, tongue (left/right)",median fibrous septum,sides of tongue,"lingual artery, tonsilar branch of facial artery, ascending pharyngeal artery",hypoglossal nerve [CNXII],narrows tongue with no elongation,,2,1
inferior longitudinal lingual,"head, tongue (left/right)",root of tongue,apex of tongue,"lingual artery, tonsilar branch of facial artery, ascending pharyngeal artery",hypoglossal nerve [CNXII],"shortens tongue, retracts, pulls tip downward",,2,1
verticalis linguae,"head, tongue (left/right)",dorsum of tongue,inferior surface borders of tongue,"lingual artery, tonsilar branch of facial artery, ascending pharyngeal artery",hypoglossal nerve [CNXII],,,2,1
tensor veli palatini,"head, soft palate (left/right)",medial pterygoid plate of sphenoid bone,palatine aponeurosis,,"mandibular nerve [CNV3], medial pterygoid nerve","tenses soft palate, aids in swallowing",?,2,1
levator veli palatini,"head, soft palate (left/right)","temporal bone, Eustachian tube",palatine aponeurosis,facial artery,"vagus nerve [CNX], pharyngeal plexus",elevates soft palate,?,2,1
palatopharyngeus,"head, soft palate (left/right)",palatine aponeurosis and hard palate,upper border of thyroid cartilage (blends with constrictor fibers),facial artery,"vagus nerve [CNX], pharyngeal branch",aids in breathing by pulling pharynx and larynx,,2,1
uvulae,"head, soft palate (left/right)",hard palate,soft tissue of uvula,,"vagus nerve [CNX], pharyngeal branch",moves and changes shape of uvula,,2,1
stylopharyngeus,"head, pharynx (left/right)",styloid process of temporal bone,thyroid cartilage (pharynx),"ascending pharyngeal artery, pharyngeal branches",glossopharyngeal nerve [CNIX],"elevates larynx, elevates pharynx, swallowing",,2,1
salpingopharyngeus,"head, pharynx (left/right)",cartilage of Eustachian tube,posterior fasciculus of pharyngopalatinus,,"vagus nerve [CNX], accessory nerve [CNXI]",raises nasopharynx,,2,1
"pharyngeal constrictor, inferior, thyropharyngeal part","head, pharynx (left/right)","cricoid cartilage, thyroid cartilage",pharyngeal raphe,"ascending pharyngeal artery, pharyngeal branches","vagus nerve [CNX], superior laryngeal nerve, external laryngeal branch and recurrent laryngeal nerve",swallowing,,2,2
"pharyngeal constrictor, inferior, cricopharyngeal part","head, pharynx (left/right)","cricoid cartilage, thyroid cartilage",pharyngeal raphe,"ascending pharyngeal artery, pharyngeal branches","vagus nerve [CNX], superior laryngeal nerve, external laryngeal branch and recurrent laryngeal nerve",swallowing,,2,2
"pharyngeal constrictor, middle, chondropharyngeal part","head, pharynx (left/right)",hyoid bone,pharyngeal raphe,"ascending pharyngeal artery, pharyngeal branches","vagus nerve [CNX], pharyngeal plexus",swallowing,,2,2
"pharyngeal constrictor, middle, ceratopharyngeal part","head, pharynx (left/right)",hyoid bone,pharyngeal raphe,"ascending pharyngeal artery, pharyngeal branches","vagus nerve [CNX], pharyngeal plexus",swallowing,,2,2
"pharyngeal constrictor, superior, pterygopharyngeal part","head, pharynx (left/right)","medial pterygoid plate, pterygomandibular raphé, alveolar process","pharyngeal raphe, pharyngeal tubercle","ascending pharyngeal artery, tonsilar branch of facial artery","vagus nerve [CNX], pharyngeal plexus",swallowing,,2,4
"pharyngeal constrictor, superior, buccopharyngeal part","head, pharynx (left/right)","medial pterygoid plate, pterygomandibular raphé, alveolar process","pharyngeal raphe, pharyngeal tubercle","ascending pharyngeal artery, tonsilar branch of facial artery","vagus nerve [CNX], pharyngeal plexus",swallowing,,2,4
"pharyngeal constrictor, superior, mylopharyngeal part","head, pharynx (left/right)","medial pterygoid plate, pterygomandibular raphé, alveolar process","pharyngeal raphe, pharyngeal tubercle","ascending pharyngeal artery, tonsilar branch of facial artery","vagus nerve [CNX], pharyngeal plexus",swallowing,,2,4
"pharyngeal constrictor, superior, glossopharyngeal part","head, pharynx (left/right)","medial pterygoid plate, pterygomandibular raphé, alveolar process","pharyngeal raphe, pharyngeal tubercle","ascending pharyngeal artery, tonsilar branch of facial artery","vagus nerve [CNX], pharyngeal plexus",swallowing,,2,4
"cricothyroid, straight part","head, larynx (left/right)",anterior and lateral cricoid cartilage,inferior cornu and lamina of thyroid cartilage,cricothyroid branch of superior thyroid artery,"vagus nerve [CNX], superior laryngeal nerve, external laryngeal branch",tenses and elongates vocal folds (has minor adductory effect),,2,1
"cricothyroid, oblique part","head, larynx (left/right)",anterior and lateral cricoid cartilage,inferior cornu and lamina of thyroid cartilage,cricothyroid branch of superior thyroid artery,"vagus nerve [CNX], superior laryngeal nerve, external laryngeal branch",tenses and elongates vocal folds (has minor adductory effect),,2,1
"arytenoid, transverse","head, larynx (left/right)",arytenoid cartilage on one side,arytenoid cartilage on opposite side,superior laryngeal branch of superior thyroid artery,"vagus nerve [CNX], recurrent laryngeal nerve",approximates arytenoid cartilages (closes rima glottidis),,2,1
"arytenoid, oblique","head, larynx (left/right)",arytenoid cartilage on one side,arytenoid cartilage on opposite side,superior laryngeal branch of superior thyroid artery,"vagus nerve [CNX], recurrent laryngeal nerve",approximates arytenoid cartilages (closes rima glottidis),,2,1
"arytenoid, oblique, aryepiglottic part","head, larynx (left/right)",apex of arytenoid,lateral border of epiglottis,laryngeal branch of superior thyroid artery,"vagus nerve [CNX], inferior laryngeal nerve",closes the laryngeal inlet,?,2,0
vocalis,"head, larynx (left/right)",inner (anterior) surface of thyroid cartilage,anterior surface of arytenoid cartilage,,"vagus nerve [CNX], recurrent laryngeal nerve","thickens and decreases length of vocal folds, adducts during speech",,2,1
"thyroarytenoid, thyroepiglottic part","head, larynx (left/right)",inner (anterior) surface of thyroid cartilage,anterior surface of arytenoid cartilage,,"vagus nerve [CNX], recurrent laryngeal nerve","thickens and decreases length of vocal folds, adducts during speech",,2,1
"thyroarytenoid, external part","head, larynx (left/right)",inner (anterior) surface of thyroid cartilage,anterior surface of arytenoid cartilage,,"vagus nerve [CNX], recurrent laryngeal nerve","thickens and decreases length of vocal folds, adducts during speech",,2,1
"cricoarytenoid, posterior","head, larynx (left/right)",posterior part of cricoid cartilage,muscular process of arytenoid cartilage,,"vagus nerve [CNX], recurrent laryngeal nerve","abducts and laterally rotates cartilage, pulling vocal ligaments away from midline and forward and so opening rima glottidis",lateral cricoarytenoid,2,1
"cricoarytenoid, lateral","head, larynx (left/right)",lateral part of arch of cricoid cartilage,muscular process of arytenoid cartilage,,"vagus nerve [CNX], recurrent laryngeal nerve","adducts and medially rotates cartilage, pulling vocal ligaments towards midline and backwards and so closing rima glottidis",posterior cricoarytenoid,2,1
ceratocricoideus,"head, larynx (left/right)",?,?,?,?,?,?,0,1
platysma,"Neck, Clavicular, Right, left",base of mandible,inferior clavicle and fascia of chest,"branches of submental artery, branches of suprascapular artery",cervical branch of facial nerve [CNVII],tenses skin of neck,"masseter, temporalis",2,1
sternocleidomastoid,"Neck, Clavicular, Right, left","manubrium sterni (sternal head), medial portion of clavicle (clavicular head)","mastoid process of temporal bone, superior nuchal line","occipital artery, superior thyroid artery","motor: accessory nerve
sensory: cervical plexus","tilts head to its own side, rotates head so face is turned towards opposite side, flexes neck, raises sternum, assists in forced inspiration",??,2,1
"digastric, anterior belly","Neck, Suprahyoid, Right/left",digastric fossa (mandible),intermediate tendon (lesser horn of hyoid bone),submental branch of facial artery,mandibular nerve [CNV3] via mylohyoid nerve,opens jaw when masseter and temporalis are relaxed,??,2,2
"digastric, posterior belly","Neck, Suprahyoid, Right/left",mastoid process of temporal bone,intermediate tendon (lesser horn of hyoid bone),occipital artery,facial nerve [CNVII],opens jaw when masseter and temporalis are relaxed,??,2,2
stylohyoid,"Neck, Suprahyoid, Right/left",styloid process of temporal bone,greater horn of hyoid bone,occipital artery,facial nerve [CNVII],elevates hyoid during swallowing,??,2,1
mylohyoid,"Neck, Suprahyoid, Right/left",mylohyoid line of mandible,pharyngeal raphe,mylohyoid branch of inferior alveolar artery,"mylohyoid nerve, from inferior alveolar branch of mandibular nerve [CNV3]","raises oral cavity floor, elevates hyoid, depresses mandible",??,2,1
geniohyoid,"Neck, Suprahyoid, Right/left",mandibular symphysis,anterior surface of body of hyoid bone,,C1 via hypoglossal nerve,elevates hyoid and tongue upward during swallowing,??,2,1
sternohyoid,"Neck, Infrahyoid, Right/left","sternum, manubrium",hyoid bone,superior thyroid artery,ansa cervicalis,depresses hyoid,??,2,1
sternothyroid,"Neck, Infrahyoid, Right/left","sternum, manubrium",thyroid cartilage,superior thyroid artery,ansa cervicalis,"depresses larynx, may slightly depress hyoid",??,2,1
thyrohyoid,"Neck, Infrahyoid, Right/left",thyroid cartilage,hyoid bone,superior thyroid artery,C1,depress hyoid,??,2,1
"omohyoid, superior belly","Neck, Infrahyoid, Right/left",upper border of scapula,hyoid bone,inferior thyroid artery,ansa cervicalis,"depresses larynx, depresses and moves to side hyoid",??,2,2
"omohyoid, inferior belly","Neck, Infrahyoid, Right/left",upper border of scapula,hyoid bone,inferior thyroid artery,ansa cervicalis,"depresses larynx, depresses and moves to side hyoid",??,2,2
levator glandulae thyroideae,"Neck, Infrahyoid, Right/left",thyrohyoid muscle,thyroid isthmus,?,ansa cervicalis,?,?,0,1
longus colli,"Neck, Anterior","transverse processes of vertebrae C3, C4, C5, and C6",anterior arch of atlas,"ascending pharyngeal artery, vertebral artery","C2, C3, C4, C5, C6",flexes neck and head,??,2,1
longus capitis,"Neck, Anterior","anterior tubercles of transverse processes of vertebrae C3, C4, C5, and C6",basilar part of occipital bone,??,"C1, C2, C3/C4",flexes neck at atlanto-occipital joint,??,2,1
"rectus capitis, anterior","Neck, Anterior",atlas,occipital bone,??,C1,flexes neck at atlanto-occipital joint,??,2,1
"rectus capitis, lateralis","Neck, Anterior/Lateral, Right/left",upper surface of transverse process of atlas (C1),under surface of jugular process of occipital bone,??,C1,"laterally flexes neck, stabilises sidebens at atlanto-occipital joint",??,2,1
scalenus anterior,"Neck, Lateral, Right/left",cervical vertebrae C3-C6,first rib,"inferior thyroid artery, ascending cervical artery","ventral ramus of C5, C6","when neck is fixed, elevates first rib to aid in breathing; when rib is fixed, bends neck forward and sideways and rotates it to opposite side",??,2,1
scalenus medius,"Neck, Lateral, Right/left",cervical vertebrae C2-C6,first rib,"inferior thyroid artery, ascending cervical artery",ventral rami of third to eighth cervical spinal nerves,"elevates first rib, rotates neck to opposite side",??,2,1
scalenus posterior,"Neck, Lateral, Right/left","cervical vertebrae C4 – C6, transverse processes",second rib,ascending cervical artery and superficial cervical artery,"C6, C7, C8","elevates second rib, tilts neck to same side",??,2,1
scalenus minimus,"Neck, Lateral, Right/left",cervical vertebrae C7,first rib,superficial cervical artery,"C7, C8",elevates first rib,??,0,1
levator scapulae,"Neck/Upper Limb, Verterbral Column, Lateral, Right/left",posterior tubercles of transverse processes of C1 – C4 vertebrae,superior part of medial border of scapula,dorsal scapular artery,"cervical nerve (C3, C4) and dorsal scapular nerve (C5)","elevates scapula, tilts glenoid cavity inferiorly by rotating scapula",serratus anterior,2,1
"obliquus capitis, superior","Neck, Posterior/Lateral, Right/left",lateral mass of atlas,lateral half of inferior nuchal line,??,suboccipital nerve,flexes head to same side,??,2,1
"obliquus capitis, inferior","Neck, Posterior/Lateral, Right/left",spinous process of axis,lateral mass of atlas,??,suboccipital nerve,rotates neck,??,2,1
"rectus capitis, posterior minor","Neck, Posterior",tubercle on posterior arch of atlas (C1),medial part of inferior nuchal line of occipital bone and surface between it and foramen magnum,??,a branch of dorsal primary division of suboccipital nerve,"sensory organ for neck position, also extends head at neck",??,2,1
"rectus capitis, posterior major","Neck, Posterior",spinous process of axis (C2),inferior nucheal line of occipital bone,occipital artery,dorsal ramus of C1 (suboccipital nerve),rotates and extends head to same side,??,2,1
rectus abdominis,"Torso, Abdomen, right/left","pubic symphysis, pubic crest","xiphoid process, costal cartilages of ribs 5-7","inferior epigastric artery, superior epigastric artery; contributions from posterior intercostal arteries, subcostal arteries, and deep circumflex arteries","intercostal nerves, subcostal nerve","flexes trunk, compresses abdominal organs, aids in expiration",erector spinae,2,1
external abdominal oblique,"Torso, Abdomen, right/left",external surfaces of ribs 5-12,"linea alba, pubic tubercle, anterior half of iliac crest","lower posterior intercostal arteries, subcostal artery, deep circumflex iliac artery","motor: intercostal nerves (T7-T11), subcostal nerve sensory: iliohypogastric nerve","flexes trunk to same side, rotates trunk to opposite side, expiration, compresses abdominal organs",,2,1
internal abdominal oblique,"Torso, Abdomen, right/left","anterior two-thirds of iliac crest, iliopectineal arch, thoracolumbar fascia","inferior borders of ribs 10–12, pubic crest","lower posterior intercostal arteries, subcostal artery, superior epigastric artery, inferior epigastric artery, superficial circumflex iliac artery, deep circumflex iliac artery, posterior lumbar arteries","intercostal nerves (T7-T11), subcostal nerve, iliohypogastric nerve, ilioinguinal nerve","flexes trunk to same side, rotates trunk to opposite side, expiration, compresses abdominal organs",,2,1
cremaster,"Torso, Abdomen, inguinal canal and scrotum",Internal oblique,Tunica vaginalis,Cremasteric artery,Genital branch of genitofemoral nerve,raise and lower the scrotum (involuntary),?,0-1(M),1
transversus abdominis,"Torso, Abdomen, right/left","internal surface of costal cartilage of ribs 7–12, thoracolumbar fascia, anterior two-thirds of iliac crest, iliopectineal arch","linea alba, aponeurosis of internal oblique muscle, pubic crest","lower posterior intercostal arteries, subcostal artery, superior epigastric artery, inferior epigastric artery, superficial circumflex iliac artery, deep circumflex iliac artery, posterior lumbar arteries","intercostal nerves T7-T11, subcostal nerve, iliohypogastric nerve, ilioinguinal nerve","rotates trunk to same side, compresses abdominal organs, expiration",,2,1
pyramidalis,"Torso, Abdomen, right/left","pubic symphysis, pubic crest",linea alba,inferior epigastric artery,subcostal nerve,tenses linea alba,,2,1
quadratus lumborum,"Torso, Abdomen, right/left","iliac crest, iliolumbar ligament","inferior border of rib 12, transverse processes of L1-L4","lumbar, median sacral, iliolumbar, subcostal arteries","subcostal nerve, anterior rami of spinal nerves L1-L4","flexes trunk to same side, fixes rib 12 during inspiration, extends trunk",,2,1
iliocostalis colli,"Torso, Back, right/left","sacrum, iliac crest, thoracolumbar fascia, spinous processes",ribs,lateral sacral artery,posterior branch of spinal nerve,extends/flexes vertebral column,rectus abdominis,2,1
iliocostalis lumborum,"Torso, Back, right/left","sacrum, iliac crest, thoracolumbar fascia, spinous processes",The lower six or seven ribs,lateral sacral artery,posterior branch of spinal nerve,extends/flexes vertebral column,rectus abdominis,2,1
iliocostalis thoracis,"Torso, Back, right/left","sacrum, iliac crest, thoracolumbar fascia, spinous processes(the lower six ribs)",upper six ribs and the transverse process of CVII,lateral sacral artery,posterior branch of spinal nerve,extends/flexes vertebral column,rectus abdominis,2,1
longissimus capitis,"Torso/Neck, Back, right/left",articular processes of C4-C7; transverse processes of T1-T5,posterior margin of mastoid process,lateral sacral artery,posterior branch of spinal nerve,"extends/flexes vertebral column, flexes head and neck to same side",rectus abdominis,2,1
longissimus colli,"Torso, Back, right/left",transverse process,transverse process,lateral sacral artery,posterior branch of spinal nerve,extends/flexes vertebral column,rectus abdominis,2,1
longissimus thoracis,"Torso, Back, right/left",transverse process,transverse process,lateral sacral artery,posterior branch of spinal nerve,extends/flexes vertebral column,rectus abdominis,2,1
"longissimus thoracis, lumbar part","Torso, Back, right/left",transverse process,transverse process,lateral sacral artery,posterior branch of spinal nerve,extends/flexes vertebral column,rectus abdominis,2,0
spinalis capitis,"Torso, Back, right/left",spinous process,spinous process,lateral sacral artery,posterior branch of spinal nerve,extends/flexes vertebral column,rectus abdominis,2,1
spinalis colli,"Torso, Back, right/left",spinous process,spinous process,lateral sacral artery,posterior branch of spinal nerve,extends/flexes vertebral column,rectus abdominis,2,1
spinalis thoracis,"Torso, Back, right/left",spinous process,spinous process,lateral sacral artery,posterior branch of spinal nerve,extends/flexes vertebral column,rectus abdominis,2,1
